	Laquelle de ces montures n'est pas sortie durant l'extension  The Burning Crusade ?	Faucon-dragon bleu	Raies du néant	Drake de l'aile-du-néant	Rênes du seigneur corbeau	Minuit	Faucon-pérégrin blanc rapide	BC	
	Quel est le temps de recharge de l'attaque "Croc-de-sang" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Devenir cinglé" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Dévorer" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Donner à manger" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Enfouir" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Essaim de jeunes araignées" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Griffure" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Grosse piqûre" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Hiberner" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Hurlement" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Mignon mais costaud" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Mutiler" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Poison aveuglant" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Prison de cristal" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Ravage" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Rôder" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Rugissement" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Saccager" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Sifflement" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Sonner" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Vengeance" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Venin paralysant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Accroupi" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Apaiser" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Apocalypse" ?	20 tours							
	Quel est le temps de recharge de l'attaque "Apocalypse supérieure" ?	20 tours							
	Quel est le temps de recharge de l'attaque "Barrage de castor" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Barrage de glands" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Bêler" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Berceuse" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Brouter" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Flair" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Lenteur et immobilisation" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Refuge" ?	6 tours							
	Quel est le temps de recharge de l'attaque "Remontant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Somnolence post-prandiale" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Toucher de la Nature" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Trésor enfoui" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Bénédiction antique" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Cataclysme" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Courbure temporelle" ?	6 tours							
	Quel est le temps de recharge de l'attaque "Dévaster" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Flamme de soins" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Gaz narcotique" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Instabilité" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Météores" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Météorite du Crépuscule" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Peau épineuse" ?	Aucun							
	Quel est le temps de recharge de l'attaque "Proto-frappe" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Remède draconique" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Rêve d’émeraude" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Terre brûlée" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Trait d’élémentium" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Appel de l’hiver" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Appel du blizzard" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Avalanche" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Avantage précoce" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Barrage de pierres" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Barrière de glace" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Beau fixe" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Bouclier de feu" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Bouclier de foudre" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Brise d’automne" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Buuurp !" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Ça chauffe" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Cautérisation" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Champi-spores" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Chant inspirant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Chiots de la Flamme" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Choc cosmique" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Choc paralysant" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Conflagration" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Congélation" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Coup de tonnerre" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Décharger" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Eclair" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Ecorce" ?	0 tours							
	Quel est le temps de recharge de l'attaque "Feu du Crépuscule" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Fils de la Racine" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Flamme sombre" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Flot de flammes" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Foudroyer" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Frénésie" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Froid cinglant" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Gel instantané" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Geyser" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Graine étourdissante" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Je s’appelle Broute !" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Nova de givre" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Nova du chaos" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Photosynthèse" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Piège de magma" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Poing de la forêt" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Rafale hurlante" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Reforger" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Sables mouvants" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Sarments" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Souffle de chagrin" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Tombeau de glace" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Troupeau infernal" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Volcan" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Boules de naphtaline" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Caquètement d’avertissement" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Cyclone" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Décollage" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Frappe du prédateur" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Frappe nocturne" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Frappe téméraire" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Frappe-cocon" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Frénésie de plumes" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Lissage de plumes" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Plus jamais" ?	10 tours							
	Quel est le temps de recharge de l'attaque "Poussière de phalène" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Rafale de vent" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Tempête de sable" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Bandage" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Batifoler" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Bombe fumigène" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Bond héroïque" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Bouclier réflecteur" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Bulle" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Charge puissante" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Charge sacrée" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Chute de murloc" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Coup de pied" ?	3 tours							
	Quel est le temps de recharge de l'attaque "De plein fouet" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Déviation" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Esquive" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Esquive caudale" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Focalisation du chi" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Frappe du voile noir" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Frappé par l’amour" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Gardien d’âme" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Générateur d’écran" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Jarre de liquide puant" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Justice sacrée" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Maîtrise du blocage" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Moissonneur" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Philtre d’amour" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Poudre aveuglante" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Pour l’aventure !" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Prison d’ambre" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Rayon accablant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Restauration" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Surpuissance" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Tourbillon" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Vague de lumière" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Vieux jaune d’œuf" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Amplification de la magie" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Anomalie temporelle" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Arrêt du temps" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Barrière illusoire" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Barrière prismatique" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Brûler la magie" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Cauchemar" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Changement de phase" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Consumer la magie" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Déflagration psychique" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Don du Voile d’hiver" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Drain de puissance" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Echange de vie" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Eclat lunaire" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Eliminer" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Eruption de mana" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Éthérien" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Evanescence" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Evolution" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Faiblesse" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Frappe des ailes" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Frappe météore" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Frappe spectrale" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Gravité" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Illuminer" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Incertitude" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Insanité rampante" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Larmes lunaires" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Nettoyage" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Oubli" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Peau-de-fer" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Pire cauchemar" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Pointes spirituelles" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Portail" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Portail du Néant" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Portail du Vide" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Rayon de feu spirituel" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Reflet lenticulaire" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Regard assassin" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Remonter le temps" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Ruée de l’âme" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Souhait" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Tempête arcanique" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Tempête psionique" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Vague de puissance" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Vision intérieure" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Appel de la foudre" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Attention !" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Bombardement" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Canon à ions" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Champ de mines" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Choc et effroi" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Décharge d’interruption" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Détraqué" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Distorsion" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Elan" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Fluctuation" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Leurre" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Plaque supplémentaire" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Rafistolage" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Redémarrer" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Réparation" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Rouages grinçants" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Secousse" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Supercharge" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Voile de tempête" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Barrage d’os" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Chant entêtant" ?	4 tours							
	Quel est le temps de recharge de l'attaque "Consumer" ?	1 tours							
	Quel est le temps de recharge de l'attaque "Drain sanglant" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Festin macabre" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Grand enchaînement" ?	2 tours							
	Quel est le temps de recharge de l'attaque "Malédiction funeste" ?	5 tours							
	Quel est le temps de recharge de l'attaque "Morsure fantomatique" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Mort et décomposition" ?	0 tours							
	Quel est le temps de recharge de l'attaque "Pourriture" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Réanimer" ?	8 tours							
	Quel est le temps de recharge de l'attaque "Tempête d’os" ?	3 tours							
	Quel est le temps de recharge de l'attaque "Vol de vie" ?	1 tours							
									
									
	Quel est la durée du buff de "Magie sauvage" ?	5 tours							
	Quel est la durée du buff de "Drain de puissance" ?	2 tours							
	Quel est la durée du buff de "Amplification de la magie" ?	2 tours							
	Quel est la durée du buff de "Pluie purifiante" ?	9 tours							
	Quel est la durée du buff de "Pluie acide" ?	9 tours							
	Quel est la durée du buff de "Peau toxique" ?	5 tours							
	Quel est la durée du buff de "Danse de la pluie" ?	2 tours							
	Quel est la durée du buff de "Carapace épineuse" ?	5 tours							
	Quel est la durée du buff de "Brumes de rénovation" ?	3 tours							
	Quel est la durée du buff de "Blessures ouvertes" ?	5 tours							
	Quel est la durée du buff de "Bondir" ?	1 tours							
	Quel est la durée du buff de "Bouclier de tricorne" ?	3 tours							
	Quel est la durée du buff de "Carapace blindée" ?	2 tours							
	Quel est la durée du buff de "Carapace bouclier" ?	5 tours							
	Quel est la durée du buff de "Cherchez la vache" ?	1 tours							
	Quel est la durée du buff de "Devenir cinglé" ?	2 tours							
	Quel est la durée du buff de "Frappe retentissante" ?	3 tours							
	Quel est la durée du buff de "Griffe noire" ?	3 tours							
	Quel est la durée du buff de "Hiberner" ?	3 tours							
	Quel est la durée du buff de "Hurlement" ?	2 tours							
	Quel est la durée du buff de "Mignon mais costaud" ?	3 tours							
	Quel est la durée du buff de "Mutilation" ?	10 tours							
	Quel est la durée du buff de "Accroupi" ?	3 tours							
	Quel est la durée du buff de "Chance incroyable" ?	4 tours							
	Quel est la durée du buff de "Danse de la chance" ?	4 tours							
	Quel est la durée du buff de "Danse éblouissante" ?	9 tours							
	Quel est la durée du buff de "Frappe glougloutante" ?	4 tours							
	Quel est la durée du buff de "Poussée d’adrénaline" ?	3 tours							
	Quel est la durée du buff de "Refuge" ?	6 tours							
	Quel est la durée du buff de "Remontant" ?	9 tours							
	Quel est la durée du buff de "Séquence vicieuse" ?	2 tours							
	Quel est la durée du buff de "Bénédiction antique" ?	9 tours							
	Quel est la durée du buff de "Cri perçant" ?	3 tours							
	Quel est la durée du buff de "Météores" ?	9 tours							
	Quel est la durée du buff de "Peau épineuse" ?	5 tours							
	Quel est la durée du buff de "Présence d’émeraude" ?	5 tours							
	Quel est la durée du buff de "Tonneau" ?	3 tours							
	Quel est la durée du buff de "Beau fixe" ?	9 tours							
	Quel est la durée du buff de "Bouclier de feu" ?	3 tours							
	Quel est la durée du buff de "Bouclier de foudre" ?	2 tours							
	Quel est la durée du buff de "Ça chauffe" ?	3 tours							
	Quel est la durée du buff de "Chiots de la Flamme" ?	2 tours							
	Quel est la durée du buff de "Ecorce" ?	5 tours							
	Quel est la durée du buff de "Ecorcefer" ?	1 tours							
	Quel est la durée du buff de "Epines" ?	5 tours							
	Quel est la durée du buff de "Fils de la Racine" ?	2 tours							
	Quel est la durée du buff de "Frénésie" ?	3 tours							
	Quel est la durée du buff de "Gel instantané" ?	5 tours							
	Quel est la durée du buff de "Je s’appelle Broute !" ?	3 tours							
	Quel est la durée du buff de "Bénédiction d’Anzu" ?	4 tours							
	Quel est la durée du buff de "Caquètement" ?	3 tours							
	Quel est la durée du buff de "Caquètement d’avertissement" ?	3 tours							
	Quel est la durée du buff de "Croassement" ?	3 tours							
	Quel est la durée du buff de "Frappe-cocon" ?	1 tours							
	Quel est la durée du buff de "Lissage de plumes" ?	2 tours							
	Quel est la durée du buff de "Oeil de faucon" ?	3 tours							
	Quel est la durée du buff de "Piqûre déroutante" ?	5 tours							
	Quel est la durée du buff de "Précision" ?	4 tours							
	Quel est la durée du buff de "Rase-mottes" ?	3 tours							
	Quel est la durée du buff de "Tempête de sable" ?	5 tours							
	Quel est la durée du buff de "Batifoler" ?	2 tours							
	Quel est la durée du buff de "Bonne bouille" ?	4 tours							
	Quel est la durée du buff de "Bouclier réflecteur" ?	2 tours							
	Quel est la durée du buff de "Esquive" ?	1 tours							
	Quel est la durée du buff de "Esquive caudale" ?	1 tours							
	Quel est la durée du buff de "Focalisation" ?	5 tours							
	Quel est la durée du buff de "Focalisation du chi" ?	1 tours							
	Quel est la durée du buff de "Générateur d’écran" ?	2 tours							
	Quel est la durée du buff de "Maîtrise du blocage" ?	1 tours							
	Quel est la durée du buff de "Surpuissance" ?	1 tours							
	Quel est la durée du buff de "Amplification de la magie" ?	2 tours							
	Quel est la durée du buff de "Bénédiction astrale" ?	3 tours							
	Quel est la durée du buff de "Changement de phase" ?	1 tours							
	Quel est la durée du buff de "Crochets centrifuges" ?	2 tours							
	Quel est la durée du buff de "Danse lunaire" ?	9 tours							
	Quel est la durée du buff de "Drain de puissance" ?	2 tours							
	Quel est la durée du buff de "Eclat lunaire" ?	9 tours							
	Quel est la durée du buff de "Éthérien" ?	1 tours							
	Quel est la durée du buff de "Evanescence" ?	1 tours							
	Quel est la durée du buff de "Evolution" ?	3 tours							
	Quel est la durée du buff de "Gain métabolique" ?	1 tours							
	Quel est la durée du buff de "Glandes surrénales" ?	5 tours							
	Quel est la durée du buff de "Illuminer" ?	9 tours							
	Quel est la durée du buff de "Incertitude" ?	1 tours							
	Quel est la durée du buff de "Magie sauvage" ?	5 tours							
	Quel est la durée du buff de "Nimbus" ?	9 tours							
	Quel est la durée du buff de "Peau de pierre" ?	5 tours							
	Quel est la durée du buff de "Peau-de-fer" ?	2 tours							
	Quel est la durée du buff de "Stimulants" ?	5 tours							
	Quel est la durée du buff de "Appel de la foudre" ?	5 tours							
	Quel est la durée du buff de "Plaque supplémentaire" ?	3 tours							
	Quel est la durée du buff de "Supercharge" ?	1 tours							
	Quel est la durée du buff de "Surrégime" ?	2 tours							
									
									
	Quel est la durée du debuff de "Vague de puissance" ?	3 tours							
	Quel est la durée du debuff de "Tourbillonnement" ?	2 tours							
	Quel est la durée du debuff de "Toucher acide" ?	4 tours							
	Quel est la durée du debuff de "Limon rampant" ?	3 tours							
	Quel est la durée du debuff de "Emprise" ?	2 tours							
	Quel est la durée du debuff de "Ecrasement" ?	2 tours							
	Quel est la durée du debuff de "Coassement" ?	4 tours							
	Quel est la durée du debuff de "Aboiement" ?	1 tours							
	Quel est la durée du debuff de "Aiguillonneur acéré" ?	1 tours							
	Quel est la durée du debuff de "Appel de la meute" ?	1 tours							
	Quel est la durée du debuff de "Barrage de bananes" ?	2 tours							
	Quel est la durée du debuff de "Breuvage puant" ?	5 tours							
	Quel est la durée du debuff de "Crachat de poison" ?	3 tours							
	Quel est la durée du debuff de "Cri primal" ?	4 tours							
	Quel est la durée du debuff de "Croc empoisonné" ?	5 tours							
	Quel est la durée du debuff de "Déchiqueteur" ?	4 tours							
	Quel est la durée du debuff de "Déchirure" ?	5 tours							
	Quel est la durée du debuff de "Grosse piqûre" ?	2 tours							
	Quel est la durée du debuff de "Piqûre" ?	6 tours							
	Quel est la durée du debuff de "Poison aveuglant" ?	1 tours							
	Quel est la durée du debuff de "Prison de cristal" ?	1 tours							
	Quel est la durée du debuff de "Rets gluants" ?	2 tours							
	Quel est la durée du debuff de "Toile fragile" ?	3 tours							
	Quel est la durée du debuff de "Apocalypse" ?	15 tours							
	Quel est la durée du debuff de "Apocalypse supérieure" ?	20 tours							
	Quel est la durée du debuff de "Bave acide" ?	3 tours							
	Quel est la durée du debuff de "Berceuse" ?	2 tours							
	Quel est la durée du debuff de "Somnolence post-prandiale" ?	2 tours							
	Quel est la durée du debuff de "Souffle de flammes" ?	4 tours							
	Quel est la durée du debuff de "Terre brûlée" ?	9 tours							
	Quel est la durée du debuff de "Trait d’élémentium" ?	1 tours							
	Quel est la durée du debuff de "Barrage de pierres" ?	3 tours							
	Quel est la durée du debuff de "Bave gluante" ?	5 tours							
	Quel est la durée du debuff de "Branche empoisonnée" ?	4 tours							
	Quel est la durée du debuff de "Breuvage explosif" ?	3 tours							
	Quel est la durée du debuff de "Buuurp !" ?	2 tours							
	Quel est la durée du debuff de "Choc paralysant" ?	3 tours							
	Quel est la durée du debuff de "Enivrer" ?	4 tours							
	Quel est la durée du debuff de "Feu du Crépuscule" ?	2 tours							
	Quel est la durée du debuff de "Flamme sombre" ?	2 tours							
	Quel est la durée du debuff de "Fouet empoisonné" ?	5 tours							
	Quel est la durée du debuff de "Froid cinglant" ?	4 tours							
	Quel est la durée du debuff de "Goudron super collant" ?	2 tours							
	Quel est la durée du debuff de "Horion de givre" ?	2 tours							
	Quel est la durée du debuff de "Immolation" ?	9 tours							
	Quel est la durée du debuff de "Immolation gangrenée" ?	4 tours							
	Quel est la durée du debuff de "Immoler" ?	4 tours							
	Quel est la durée du debuff de "Lance-flammes" ?	2 tours							
	Quel est la durée du debuff de "Nova de givre" ?	2 tours							
	Quel est la durée du debuff de "Souffle de chagrin" ?	2 tours							
	Quel est la durée du debuff de "Boules de naphtaline" ?	3 tours							
	Quel est la durée du debuff de "Cyclone" ?	5 tours							
	Quel est la durée du debuff de "Essaim de falcosaures !" ?	2 tours							
	Quel est la durée du debuff de "Frappe téméraire" ?	1 tours							
	Quel est la durée du debuff de "Plus jamais" ?	5 tours							
	Quel est la durée du debuff de "Toxine luminescente" ?	4 tours							
	Quel est la durée du debuff de "Vents sauvages" ?	2 tours							
	Quel est la durée du debuff de "De plein fouet" ?	1 tours							
	Quel est la durée du debuff de "Jarre de liquide puant" ?	1 tours							
	Quel est la durée du debuff de "Justice sacrée" ?	1 tours							
	Quel est la durée du debuff de "Poudre aveuglante" ?	1 tours							
	Quel est la durée du debuff de "Anomalie temporelle" ?	3 tours							
	Quel est la durée du debuff de "Arrêt du temps" ?	1 tours							
	Quel est la durée du debuff de "Cauchemar" ?	2 tours							
	Quel est la durée du debuff de "Corrosion" ?	2 tours							
	Quel est la durée du debuff de "Drain de puissance" ?	2 tours							
	Quel est la durée du debuff de "Faiblesse" ?	1 tours							
	Quel est la durée du debuff de "Mauvais pressentiment" ?	4 tours							
	Quel est la durée du debuff de "Pointes spirituelles" ?	1 tours							
	Quel est la durée du debuff de "Reflet lenticulaire" ?	2 tours							
	Quel est la durée du debuff de "Regard assassin" ?	4 tours							
	Quel est la durée du debuff de "Bombe incendiaire" ?	9 tours							
	Quel est la durée du debuff de "Canon à ions" ?	2 tours							
	Quel est la durée du debuff de "Découpe" ?	5 tours							
	Quel est la durée du debuff de "Fumée toxique" ?	2 tours							
	Quel est la durée du debuff de "Ascension impie" ?	9 tours							
	Quel est la durée du debuff de "Champignon rampant" ?	4 tours							
	Quel est la durée du debuff de "Malédiction funeste" ?	4 tours							
	Quel est la durée du debuff de "Morsure fantomatique" ?	1 tours							
	Quel est la durée du debuff de "Mort et décomposition" ?	9 tours							
	Quel est la durée du debuff de "Pourriture" ?	5 tours							
	Quel est la durée du debuff de "Siphon de vie" ?	3 tours							
									
									
	Quelle sont les chances de toucher de l'attaque "Du sang dans l’eau" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Baiser de grenouille" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Aboiement surpuissant" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Charge de tricorne" ?	85%							
	Quelle sont les chances de toucher de l'attaque "Cri primal" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Griffes spectrales" ?	80%							
	Quelle sont les chances de toucher de l'attaque "Barrage de glands" ?	80%							
	Quelle sont les chances de toucher de l'attaque "Cataclysme" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Coup de queue" ?	100%							
	Quelle sont les chances de toucher de l'attaque "Instabilité" ?	50%							
	Quelle sont les chances de toucher de l'attaque "Proto-frappe" ?	100%							
